Contract_ID,Contract_Type,Contract_Date,Balance
j8LnKe,TDC,2021-08-10,130192.51102864789
0HRldx,Checking Account,2020-08-27,12121.916213081382
i2wzKC,TDC,2021-04-13,140646.6835796873
NGcvQg,Checking Account,2023-06-14,127250.21062091835
zxWt6K,Checking Account,2021-02-01,136688.1477316242
LcuXkz,Mortgage,2023-01-09,40461.27833600141
LVsglV,TDC,2022-08-25,12948.94051240127
AMq4mj,TDC,2023-07-09,60690.78705199808
Kk7Ntr,Checking Account,2020-09-17,136097.58975257777
4zQRCx,TDC,2023-09-05,125984.14253800448
D6WVCR,Mortgage,2021-09-22,87358.31953212955
fVfGBl,Saving Account,2020-02-13,83050.53975713188
x57hkQ,Checking Account,2022-11-02,72902.12422759665
52MJQR,Checking Account,2024-01-19,143916.5913626662
JInKnp,TDC,2023-11-09,133246.4080856137
WWV1Em,Saving Account,2023-07-03,671.2607793631687
marssK,Saving Account,2020-04-30,128126.43572428275
uk0fyX,Mortgage,2023-07-02,59035.598149123936
88BFrW,Mortgage,2020-10-15,100316.36214884478
eItTsW,Saving Account,2023-12-10,104929.58574960315
tPirNX,Mortgage,2021-08-29,61579.98876155447
hQ1MOt,Checking Account,2021-10-01,110328.72429851582
xDDrVF,Checking Account,2020-05-01,143690.3487174474
USx6nB,Saving Account,2020-04-29,35598.516876810376
96NStJ,Saving Account,2022-11-17,25431.06597832444
NxV3Tb,TDC,2022-06-03,110899.03985496181
O0e5Kn,Checking Account,2021-01-23,31408.329003584673
NmugB4,TDC,2022-04-12,12500.640010374738
bDJJj3,Mortgage,2020-04-14,69951.06619197692
BEI7ZO,Saving Account,2020-12-01,129787.48960292141
FmQB3v,Checking Account,2021-05-18,111550.4527982461
rCEvKf,TDC,2023-02-27,23661.7912139377
TDE06U,Checking Account,2021-12-04,27895.53427026078
Je22rS,Mortgage,2022-05-16,69183.08564327858
Hgr9NM,Checking Account,2023-01-17,116221.19488847672
kwSQB5,TDC,2022-08-02,21850.54266551719
jxFwP6,Saving Account,2023-05-18,43100.10367965237
VFHm17,Checking Account,2020-06-01,129941.49252220313
7LUn1J,Mortgage,2023-04-15,9773.987388363714
oIfbGj,Mortgage,2020-09-20,84226.40263926635
sSaHPM,Checking Account,2023-06-13,40356.07862939751
gbyahN,TDC,2023-10-24,23245.60107090545
8RUc4h,TDC,2020-09-04,63265.36730532933
aLBLDz,Checking Account,2023-04-04,66213.0580550721
DxtPHF,Checking Account,2022-07-29,39041.55755309296
yaAF9V,TDC,2022-07-02,36777.4936475123
XpwO28,TDC,2022-08-02,1708.0321648610197
hrppHU,Mortgage,2020-03-16,98493.79585075687
frU8X1,Saving Account,2023-09-19,84910.36273231152
HXTOxz,TDC,2024-01-29,45442.62078204177
VxoZNf,Saving Account,2021-11-11,19038.11604875319
aOjDkN,Checking Account,2023-04-20,77377.00967062068
GjTVjt,Checking Account,2021-02-08,69276.7424885749
T63uLo,TDC,2020-11-28,73850.52363348193
4J2Lb6,Mortgage,2022-04-13,90381.4202253039
fIIjfq,TDC,2020-04-04,81433.43362863839
UsSvg3,Saving Account,2022-02-05,107572.66977967652
XVGJwW,Mortgage,2020-04-23,63865.25999576341
PxqEns,Saving Account,2020-01-27,31888.60194877113
DuLdgT,TDC,2022-10-04,125761.82268442558
WIE7RA,Checking Account,2020-03-16,110253.32943456095
GqrMmb,TDC,2022-07-12,148567.4984577109
IGShyv,Checking Account,2020-10-19,118738.0595955137
p2fgrx,Mortgage,2020-09-23,10363.43886416152
2hAsM9,TDC,2022-02-04,112743.87712383921
AbSWFQ,Saving Account,2023-03-18,58418.39294514871
DeAmni,TDC,2022-10-20,117555.35974149335
9CsYhQ,Mortgage,2020-11-05,90535.99651577778
6wpOsG,Mortgage,2022-03-20,125646.99562027668
rTLeFj,Mortgage,2021-03-27,79326.49826720644
l6YAWf,Checking Account,2022-06-12,64333.67834873486
bnBSGO,Checking Account,2023-02-24,141017.16386733082
h30dtJ,Saving Account,2022-06-01,107877.91232872976
AXpGms,Saving Account,2020-05-16,21416.602722019587
yCAmBw,Saving Account,2020-08-21,5087.500323752945
h2YhYw,Mortgage,2021-08-01,70577.24079624348
ZthxPd,TDC,2023-08-07,121091.66840058759
PYfgim,Saving Account,2022-04-27,23522.56223534132
2f3Dia,TDC,2023-06-08,32335.27769672104
QtOeEu,Saving Account,2023-05-13,82843.02669365531
5y8onF,Mortgage,2020-01-02,83719.25287320513
qhnlDP,TDC,2023-10-04,82378.42865945313
GIsSab,Checking Account,2022-08-21,77370.74527042569
VEHZaM,Saving Account,2021-06-03,9906.67686058519
hgKery,Checking Account,2022-10-15,143110.61893521255
QjGNww,Mortgage,2021-04-26,51516.85355007897
DNPnwP,TDC,2023-10-21,149424.21018108088
pvQpZW,Saving Account,2022-04-29,127955.52094107131
EzQpvc,Mortgage,2023-05-15,112348.19103406678
SFUjcv,Saving Account,2020-12-17,93187.15757058894
EenVcq,TDC,2022-06-21,51686.214360829326
hRKJRH,Saving Account,2021-04-16,117718.69391252284
Tj2fuD,Checking Account,2020-01-19,54969.3915598136
pFtmtT,TDC,2022-06-10,95067.70102546015
ko7Mrq,Saving Account,2021-10-02,104995.80823272812
Bycpue,Saving Account,2021-07-03,4192.51753630925
zs4XbW,TDC,2020-04-20,114549.88986610447
CJc5Xj,Saving Account,2021-05-25,13716.655959889576
PXGyr4,Mortgage,2024-02-04,73789.84598260003
PnujYv,Saving Account,2021-03-10,13595.12818688618
I167Pr,TDC,2023-07-08,31305.807059322517
DP0LNz,Checking Account,2023-04-05,112364.60725562541
qSthEN,Checking Account,2021-06-21,47699.5366999061
sDHeyr,Saving Account,2023-06-28,66299.53994382077
M5HUrQ,Saving Account,2020-06-05,57242.938088083334
n7g5es,Checking Account,2021-04-11,97008.38770708097
FqHqvX,TDC,2022-05-26,98477.30643357648
jfVQqM,Saving Account,2020-08-19,97428.66249096754
JivxL6,Saving Account,2021-06-30,66223.70693890314
dsjs73,Checking Account,2020-02-29,72294.58474201613
ZElCaW,Checking Account,2023-01-28,1469.1581440267885
2IE6D6,Saving Account,2020-01-23,145346.07279831913
qvHh72,Saving Account,2023-07-24,100206.89648527474
zPFliS,TDC,2022-09-24,121283.01353118225
Rw5WZx,Checking Account,2022-07-16,760.8648496247763
d3HxxA,Checking Account,2023-11-13,119615.9728578001
ozYueb,Saving Account,2023-06-25,7778.209873665817
PAqFVt,TDC,2021-09-14,52811.62550638247
0dxQno,TDC,2020-01-14,52496.39779869134
mXSfcu,Mortgage,2021-11-02,48920.91197917581
as8X4C,Saving Account,2020-12-28,69028.55880694177
EyxU6w,Checking Account,2023-06-29,21298.311645955255
EPf4Lu,TDC,2021-10-30,10754.526854277316
wudnUL,Mortgage,2022-06-04,48305.05624335196
FIDnfj,Mortgage,2021-12-23,56866.3359024328
mGgkCv,Checking Account,2021-04-01,21061.800725684847
AdV4V5,Mortgage,2023-06-16,56779.50610796887
m994j6,TDC,2020-01-07,105482.53064603152
dU6eY1,Saving Account,2020-09-29,30769.575900478914
9D62Z1,Saving Account,2022-12-07,6190.564004370768
mo9WFv,Saving Account,2022-06-08,35607.71188191738
bpkq3A,TDC,2021-12-06,53470.081699998045
QWEuOy,Saving Account,2022-04-15,107295.35716180693
6DnNdB,Mortgage,2020-04-14,78196.48270196511
xzH2Xg,Checking Account,2022-10-03,27213.14540245164
LvF6IU,TDC,2023-04-21,20292.662035502082
sCGRhy,Checking Account,2020-01-22,77361.26108964597
yorSjV,Checking Account,2022-11-05,62879.74082129115
6AW5Mb,Saving Account,2020-03-08,85038.83285117133
yNeJfQ,TDC,2023-05-24,104363.48788612761
Pw8KhB,Mortgage,2020-05-21,105918.12235598119
QsdEXH,Checking Account,2020-07-16,51956.32672226726
NfoCI7,Saving Account,2021-09-03,71065.08573702055
2pQcoH,Saving Account,2021-08-19,59286.17331014225
hQMqbY,Mortgage,2022-07-17,113238.49007580761
tt0GgB,TDC,2020-09-29,24215.631336702376
idJC5h,Mortgage,2023-02-14,135397.6564752968
JTDn3l,Mortgage,2020-12-07,106302.56433259361
87HN0p,TDC,2022-10-08,147511.82774975154
MtiboY,TDC,2022-05-01,10456.530542328106
7Wp7tK,Saving Account,2020-06-16,71589.05753815129
OG0QtO,Saving Account,2020-02-16,77627.98777060646
oR4lfx,Mortgage,2023-09-07,73780.06553570475
e1ewjO,Saving Account,2020-03-04,112924.22902636217
1ZuxTS,TDC,2021-09-04,91820.51000427417
mxmegi,Saving Account,2021-09-21,142168.13143291368
o6QnXg,Saving Account,2023-06-22,148066.71522031678
gPI9zJ,TDC,2021-03-15,72658.09365707771
XYICU4,Checking Account,2020-09-22,107154.47233997079
nDwDyq,TDC,2023-08-01,80124.8534738316
zFMWB8,Saving Account,2021-08-13,42291.820073493975
ZExBy6,Checking Account,2020-02-10,82054.12801240146
nvhdaM,Saving Account,2022-11-07,37063.201604467045
t1lVoD,Checking Account,2021-05-10,95439.69291345173
mr1HP4,Mortgage,2022-09-05,24905.612937904367
NPFveJ,TDC,2021-10-14,139992.97608438198
ruzbtI,TDC,2022-03-16,9480.811513230183
3e5qfv,TDC,2020-11-08,128650.90724436654
L956fF,Checking Account,2023-12-05,137362.46329454455
PM6HLI,Saving Account,2022-03-09,101895.04015997672
n6sNPQ,Checking Account,2023-06-14,78912.54268000262
MXOvU0,Checking Account,2021-07-07,74299.94290325548
vzCW4i,Mortgage,2022-07-14,88651.58256033188
VMPA6I,Saving Account,2021-01-17,60404.56969766091
Nl76zm,TDC,2022-11-18,64866.397732373036
ySAZms,Mortgage,2020-02-20,53490.217016751616
3gB5qd,Mortgage,2021-10-06,56264.23661543298
b0XgOi,Checking Account,2022-02-03,108847.56104266336
od1kon,Saving Account,2022-03-07,82388.47902152722
o21E6z,Checking Account,2024-02-22,41321.54854498677
laFZc8,Checking Account,2022-09-06,98296.59529582449
3G69iZ,Mortgage,2020-03-15,106202.13108742762
KSw6xL,Checking Account,2023-07-24,78619.30442355943
fr2ZvM,Checking Account,2023-07-10,74076.51531669458
bxxJBk,TDC,2020-11-06,46571.56381081802
VIzRCZ,Saving Account,2021-06-09,58650.894072803836
WB9pIx,Checking Account,2021-12-12,68363.35221502825
APRkB0,Saving Account,2023-02-04,60966.63288905612
UtorUq,Mortgage,2020-10-12,149193.02862681018
MWkY79,Mortgage,2022-06-01,90568.16111375431
QN2fgE,Checking Account,2020-11-02,123410.68287557563
mgYjIN,Mortgage,2020-11-25,51597.82976586441
0PhJ6G,TDC,2020-02-25,141512.67939451366
X9wmOQ,Mortgage,2020-11-06,127351.52959828035
GstWDh,Saving Account,2020-07-04,105510.77358334932
UVXzuR,Checking Account,2021-04-01,134834.14474421676
7L1pl5,Checking Account,2023-03-22,3626.069064911277
AapaOM,Checking Account,2021-05-17,83383.50275395947
W3wCKk,TDC,2021-05-27,63603.78568332694
H1fFP2,TDC,2023-02-12,143326.6853224609
wxLmpY,Checking Account,2021-04-18,130306.19890753795
xUw3EU,Checking Account,2023-05-18,87800.35541114953
FW0506,TDC,2020-08-11,105119.49434929367
TxEmD2,Mortgage,2020-10-07,22627.57584880539
dsPP7v,TDC,2022-06-14,32776.44247665123
rmsHgq,Saving Account,2023-01-24,91308.09881699443
HIh8SY,Saving Account,2021-10-06,148833.79117457548
YiK0k7,TDC,2021-03-04,50228.479619796664
WIKhJq,Mortgage,2020-03-26,143987.5307419397
Pic4tO,Saving Account,2024-01-08,94733.41261704257
UX8rWP,Saving Account,2021-08-17,59710.29249369158
i4NHE9,TDC,2023-05-24,54275.820447933605
cc52YI,Saving Account,2023-06-08,148239.65156487952
IzWPhp,Mortgage,2020-06-20,61440.77599497349
nXZ03a,Mortgage,2023-03-21,142982.75423869552
Za9BSs,Checking Account,2022-06-02,42213.08820751037
k5BL5S,Saving Account,2024-02-23,121897.76274523136
MRlOir,TDC,2023-05-16,80847.27889677633
ccEuqe,Mortgage,2023-08-25,19711.273370838473
SX89Ta,TDC,2023-11-26,77469.59543666647
URSOKN,Checking Account,2022-02-12,21862.14014069997
6FkMx7,Checking Account,2020-09-09,136138.07809088207
yi2oPf,Saving Account,2023-05-15,105099.30618647391
LoHwVX,Saving Account,2021-08-13,3430.289338827272
LAvkmB,Mortgage,2023-05-05,147555.7653412974
GuVRpV,Saving Account,2020-12-10,24885.883208221574
6Uem8X,TDC,2021-09-28,143692.81769506048
AVJNSQ,Checking Account,2023-03-29,30143.70307691813
BS6kiO,Saving Account,2021-08-24,27567.374648203724
4i3dos,Saving Account,2020-07-18,111374.5801686763
ek4yWV,Mortgage,2022-05-20,139797.81200263323
5OP3dZ,Checking Account,2022-09-08,54845.1235202478
CPRtNJ,Checking Account,2021-11-18,141833.84648053983
gvmkEg,Checking Account,2023-10-04,89592.57422756834
8Xg5SI,Checking Account,2022-08-25,132355.3294570831
oysF8p,Saving Account,2022-12-05,79633.09321728385
v3b0ae,TDC,2023-06-18,121870.72845964621
OypW8v,TDC,2021-07-17,78710.57819955528
nOq2je,TDC,2023-11-28,81225.99937511508
Tnbgxu,TDC,2020-03-12,93292.07484580035
qjlHo2,Checking Account,2022-09-26,65521.21681473281
rgviZn,Saving Account,2022-08-16,143852.35852844422
TOoCAA,Mortgage,2022-03-26,116274.83209560976
vJA5aG,TDC,2020-12-19,145727.87347560827
O33KvC,Checking Account,2020-12-01,22602.460589748156
7mlSAA,TDC,2022-03-07,35965.599015023385
XNoa0X,Checking Account,2021-09-12,38254.28854950443
96Ho5M,Mortgage,2022-01-25,136811.8353903418
ZcZVq8,Mortgage,2020-12-14,49272.36041815715
Dm1rGi,TDC,2022-06-07,2032.0360222996246
AXx9oS,TDC,2023-02-06,7118.043961640905
3bPLkg,TDC,2020-05-01,21577.416279001536
eThhVa,Saving Account,2022-04-19,17721.067843150755
pEpUDN,TDC,2020-06-21,87049.57489447277
Zai03u,Mortgage,2020-08-26,33581.04226257487
mrspE9,Mortgage,2023-09-28,5069.359235038727
q3uB2j,TDC,2020-09-13,109195.05177096261
cnMNTy,Mortgage,2021-04-16,57730.60615365992
JOnMIZ,Checking Account,2020-02-13,82139.49924493842
Vg09Lj,Checking Account,2021-05-10,47209.93821810473
wyw0w1,Saving Account,2020-06-25,71513.2206296738
jWsTzI,Mortgage,2020-07-22,138599.09883634275
t91dln,Checking Account,2022-08-19,42341.617434005246
nbx0AG,Checking Account,2024-02-05,82800.72202712316
9NXBy3,Checking Account,2022-09-17,67864.08597503367
zDtpZ8,Saving Account,2022-03-31,8591.06396128328
tffKqK,Saving Account,2022-08-19,60156.507286265776
MJ8Lxl,Mortgage,2023-05-11,26681.790839851237
W6azk2,Mortgage,2020-10-06,30472.16891234072
2hcZQy,Mortgage,2022-04-28,110301.77079550452
xYR0CS,Checking Account,2021-10-08,56857.80174360374
FrJkGO,TDC,2021-02-02,42356.59981523872
Ngriej,Mortgage,2020-01-21,104608.8761043187
zMGdfH,Mortgage,2023-04-04,33971.218671398856
kURvL7,Mortgage,2023-05-10,118596.29361908583
qUxHx1,Checking Account,2021-07-23,24986.82269501079
vzzl5X,Checking Account,2020-08-01,15102.475184210494
SM8fXh,Mortgage,2020-03-10,144881.09457300298
KKDBPX,Mortgage,2022-03-11,27964.16143524128
ICLSci,Saving Account,2020-12-01,52187.574043379595
aNOr5N,Mortgage,2023-01-16,143676.81217813757
DcWqu1,Mortgage,2021-11-21,146568.24986575253
30WJSz,Saving Account,2022-11-02,118845.64825840293
tFSujS,Mortgage,2022-08-10,47678.75971428818
MGcLyo,Checking Account,2021-02-23,52032.351149836424
3SPo4g,Checking Account,2023-04-25,143869.23542071335
D17KXj,Checking Account,2021-10-09,112264.30542457083
dE6v9x,Checking Account,2023-08-31,118126.16332673842
6N7o0y,Mortgage,2023-12-24,79723.10687333663
iXw9oz,Mortgage,2023-04-17,108520.73657929641
cof493,Saving Account,2020-04-03,78818.17415190945
d40fAm,Checking Account,2023-03-13,68028.84170498908
TpICvk,Checking Account,2021-01-22,116697.89449312865
HgEQoF,Checking Account,2022-07-04,125491.15009039138
UtfDTf,Saving Account,2021-02-17,92827.3313585531
Ij9uJC,Checking Account,2020-10-27,41025.713859085896
REGqcn,Saving Account,2021-06-07,60869.21153619487
QAjdLH,Checking Account,2022-10-31,103774.77137678182
e7CdyA,Saving Account,2020-06-12,28130.531785026044
YGQFqU,Mortgage,2022-12-14,63510.687851563445
YVZfRg,TDC,2023-07-27,12215.684786590122
8rHJk3,Checking Account,2021-02-20,54116.87657172968
V22mgJ,Saving Account,2022-02-03,125996.48974633259
zCX29r,Checking Account,2021-07-30,132220.6236201275
OGOpkW,TDC,2023-07-15,47004.41163289446
YVy4UT,Mortgage,2021-04-01,20776.040741577443
95TyS3,TDC,2020-03-31,98523.43523006287
9ovczg,Saving Account,2021-02-15,12397.697191459727
hkvNaC,Checking Account,2022-12-18,54344.79234718855
7EJBUU,Saving Account,2020-06-16,3301.49781054249
b9YPNR,TDC,2021-07-11,147562.77265837722
G19PGj,TDC,2021-03-18,50451.475131041094
F9zdof,Saving Account,2020-10-29,73911.45347631157
XSQ3bG,TDC,2023-11-24,58114.90208811142
ySwU1u,Mortgage,2021-06-13,27027.3055248285
0QI0F3,Saving Account,2020-12-27,105973.68298874432
yXVkBj,TDC,2021-01-09,27065.677410745324
qimBoh,TDC,2024-03-01,110818.46471531283
Q0ZOt9,Saving Account,2023-07-14,62131.67917862337
PqJAbC,Mortgage,2020-11-05,149970.7311271574
GkXh9l,Mortgage,2020-10-19,46406.78778423138
IRdYyv,Checking Account,2022-11-30,129254.02373743897
zN7jck,TDC,2021-08-10,82633.27988456466
sH93l7,TDC,2020-07-08,113882.78186579728
1GrQUP,Mortgage,2022-04-10,58744.726661106346
b9GMXw,Mortgage,2021-01-25,119016.4659266662
pto1Gr,TDC,2022-10-29,16904.544373814588
e0CmkR,Checking Account,2020-09-19,124292.80812326533
xBA0Xe,Checking Account,2024-02-16,148916.01095773952
OyuL3z,TDC,2024-02-02,93079.97957101262
YAy5Uy,TDC,2021-06-22,12859.428216097109
OIBj2E,TDC,2023-11-04,84461.5077105375
UoOTcD,TDC,2021-08-29,122340.99819880209
bfSLSH,Checking Account,2020-02-11,106291.8278022221
wqglMy,Saving Account,2023-09-24,143221.6072918702
CiU6sX,TDC,2022-04-08,127054.83931071125
MPNweS,Mortgage,2022-11-05,137782.72517426847
PF4cJD,Saving Account,2020-03-08,32670.84009835274
PE0w86,Checking Account,2022-04-10,53755.88149064289
KzTql4,Saving Account,2021-11-04,91928.25518851413
NvXKu6,Mortgage,2022-11-29,30266.062704813623
UvyEnw,Checking Account,2020-06-19,65532.43035886834
Run2yk,Mortgage,2021-01-29,130232.59605422014
qxT7aJ,Saving Account,2023-06-03,115313.25962274238
VikuAZ,Saving Account,2023-01-06,71787.27417544395
rtP4uj,Saving Account,2020-11-08,64111.71735205624
T32ml1,Checking Account,2022-03-05,141736.9281770121
BHuxcJ,Mortgage,2021-04-11,103687.04015082997
gU6NEs,Saving Account,2023-02-18,56343.39894102119
CRpmQA,Saving Account,2020-05-13,71825.14438524841
yreszt,Checking Account,2023-10-28,142712.76905012658
wUo4h8,Mortgage,2024-02-13,49895.574624453904
0bxlmW,Mortgage,2020-06-11,32721.745850188017
xMSukR,Mortgage,2022-02-15,140854.8484557603
VVi0qC,Mortgage,2024-02-24,62820.07894445447
L6y41D,Mortgage,2021-10-17,121682.75797888324
MswYMc,Saving Account,2022-11-13,36334.25222553854
F5Zq4f,TDC,2022-05-08,1936.387220194314
lLvmI1,Saving Account,2021-07-02,43332.023968432484
UCH8MT,Mortgage,2020-10-05,2090.7475851270337
GPb4TM,Checking Account,2020-08-16,120497.5452008774
7wO3LX,Mortgage,2023-05-23,137960.235353373
j9hNbO,Mortgage,2020-07-08,133313.69085214756
rRwO7y,Checking Account,2021-03-22,123129.03483020347
tEi3DC,Checking Account,2023-02-10,127755.3032655962
yG6qY5,Mortgage,2023-08-08,87225.34948990094
ObrTbo,Checking Account,2023-05-24,79829.7633877568
7sABCQ,TDC,2023-02-22,60625.13855657422
6GdqDv,TDC,2023-03-24,33339.01258092128
jCqAuK,Saving Account,2021-04-02,83758.21827870756
udWeb6,Saving Account,2020-09-27,19116.06505836915
oj1nhn,Checking Account,2022-01-25,33820.81677114217
qTjVyk,Saving Account,2023-10-29,76182.12900337065
SSl2u2,Checking Account,2021-04-02,17879.063101195617
WjOuba,Saving Account,2021-01-18,44879.11786943263
iMgA0r,TDC,2023-12-31,10184.548565925237
XLrKzL,TDC,2023-11-24,124899.93848872582
UmzfgQ,Saving Account,2023-08-11,45668.89047571934
3KL6Xb,TDC,2023-12-03,121419.36470141492
H2FeO6,TDC,2022-04-17,46577.43664007127
OpdikL,Saving Account,2022-06-20,30233.067986627833
a2UnPb,TDC,2022-12-07,66155.30014247267
UCYFcg,Mortgage,2021-01-08,140775.27382672977
9zm9j9,Checking Account,2020-04-30,34330.196122452
WvgNQi,TDC,2022-01-11,112088.7134643448
N0L6K6,Mortgage,2023-05-28,33118.50206622428
Qhp7U4,Checking Account,2020-10-26,67243.06122011699
eGHFYv,Mortgage,2021-07-10,96948.58034412278
EAlWKD,Saving Account,2021-10-24,49089.34193633403
ViGfxC,TDC,2021-02-21,112799.13028307073
mkwcfe,Saving Account,2023-12-17,29983.53623176787
EYxkoY,Checking Account,2021-05-24,91142.63209632155
yEI862,Saving Account,2023-12-13,46428.82166049447
te5xw6,Mortgage,2023-10-13,144969.3698584533
BClaZB,Saving Account,2020-06-09,35282.564867838344
jM800z,TDC,2023-05-14,51931.77505527863
vu41IN,TDC,2020-08-06,103096.29247903629
HFc9ix,Saving Account,2021-12-21,111985.24328779028
z3Um95,Saving Account,2023-06-23,40420.983730216256
xtR5Mq,Mortgage,2022-09-01,93131.6336273469
T76gOk,Mortgage,2021-06-29,85061.58992405268
9RaTcc,Mortgage,2022-02-26,36617.76540567494
C6T245,TDC,2020-07-20,69811.0230148184
DdvAwX,Mortgage,2020-04-07,147836.6658159431
9hHmpE,Checking Account,2023-12-21,76308.7925803653
Rb2I9i,TDC,2023-04-04,143698.6510006359
MYcKC2,Checking Account,2021-12-16,128343.2479300335
Xb51KO,Saving Account,2021-09-15,91703.87987339224
lyMauQ,Saving Account,2023-04-07,107113.53933601946
WaKG08,TDC,2022-01-18,106862.92250767571
FUGoyx,TDC,2021-05-10,77340.99151159705
GACTfF,TDC,2023-06-30,121266.86803322587
QFXwKl,TDC,2022-08-05,129015.17890382056
xWL5JH,Saving Account,2021-04-29,51626.36283244597
N1s6SF,Mortgage,2022-01-22,11108.304188688075
94g8mC,Mortgage,2020-08-06,147819.113186893
aQuoJm,TDC,2021-03-16,28760.257207214032
zMb7ut,Saving Account,2020-03-11,83305.53414321094
huffTT,Saving Account,2021-09-29,566.0437788068396
KXPtvH,Saving Account,2022-12-07,62076.012488797845
G3iwRX,Saving Account,2023-05-27,60285.809813059706
zQe2r3,Checking Account,2020-04-13,148017.54195827033
0PBQPE,TDC,2021-12-21,2035.8780298577442
7k3IPm,Saving Account,2022-07-10,49256.30697344246
9AM8Nd,Mortgage,2020-10-02,49400.93850401002
H1UBxT,Mortgage,2020-04-15,90131.63180410038
XywXay,Checking Account,2023-03-31,94864.99014645889
e2JI2n,Checking Account,2020-06-24,75369.20488092369
e03MnO,TDC,2023-09-11,118560.61559234686
s9XeW2,Saving Account,2021-09-03,49314.85293022697
03YktC,TDC,2020-12-25,53576.52257508905
