Transaction_ID,Transaction_Date,Contract_ID,Transaction_Type,Amount
51FNda,2021-01-06,q7dfIp,Withdraw,83061.440936415
9L4YBA,2021-11-28,rVG3yC,Deposit,1562.1536061713643
NMZIsQ,2021-01-23,IrDMjm,International Wire,27265.45757817426
HeSBwW,2024-01-20,TjjlWH,International Wire,146517.21977567227
gIq3i4,2021-01-04,Bya5L4,Deposit,115962.01053194732
tS06ef,2023-11-16,3FluGf,International Wire,22447.845137621815
0xCNzO,2023-04-01,RWByJS,Withdraw,60756.44268024889
MQHkaF,2023-08-09,8H1ZyS,Deposit,85148.559742946
igiso8,2021-06-01,QLPduN,International Wire,11127.839045593846
SxOC5C,2021-10-23,4ldDy2,International Wire,57919.03952062327
TUP4hl,2021-07-04,EdPZdc,Withdraw,59151.03622177731
phPxvE,2023-08-04,H1cMq0,TDC,135399.240215612
um7ke0,2023-10-06,XseUHm,Deposit,10267.814672882705
AACPbX,2021-11-05,rldbUa,Withdraw,59724.81239397838
SOpuIS,2022-04-15,OXSw7E,Withdraw,24841.608566994095
fUjQ8R,2022-03-11,yVhOHn,Deposit,39010.38879699646
8COGB2,2023-12-06,1YMmDf,International Wire,112508.05779478909
ff6Do1,2021-10-11,L5QYAO,Deposit,116327.71696134264
FhI7sw,2021-06-05,LlMMk9,Deposit,109319.12222990765
37qQJZ,2023-01-09,8953nu,International Wire,102383.61672385842
RD5ENY,2022-09-09,nXiHdq,Domestic Wire,99286.15970371502
RfBY3J,2023-09-03,q7nYvj,Withdraw,54082.64609915713
0W1xkH,2021-05-07,62jexP,Deposit,111093.32396382645
VlWCr3,2021-02-03,8xO46g,Withdraw,29817.596287868455
CK4xif,2022-03-03,qL7flk,TDC,60946.97869774273
gOntRx,2022-12-05,0ZvjWo,Domestic Wire,76464.06299120984
U5JacN,2021-06-29,ADWzJ0,Withdraw,84630.05658643426
Xqm3zb,2022-02-03,GgfuNP,International Wire,148946.35253193518
NRQerU,2021-07-27,fdD4KL,Withdraw,20736.650397363737
WFpdle,2023-10-13,n0xNqu,International Wire,73013.82074964028
UW7Y1Q,2023-03-21,Men935,Deposit,90075.83561998562
Jq72co,2023-10-08,7ckWJK,Withdraw,37565.09878050411
YHuEBH,2023-09-29,aAY9Ms,Deposit,35103.14972917708
oHRxzN,2022-06-24,SIEYjp,Domestic Wire,54723.03629738162
MsOyrW,2021-06-28,crcYB8,Deposit,88595.88645411507
6CHdq4,2021-08-28,ivdF1F,Withdraw,6862.7592679056415
bi6NTr,2022-03-09,QLfD3p,International Wire,47962.61851500267
WsGNij,2021-01-29,gl8iQk,TDC,95514.96188570808
pehe45,2021-03-07,6rkrJ1,International Wire,92925.56215552277
yAZSDa,2021-03-05,WSV7Uu,International Wire,23235.85999343646
KVjWcF,2021-11-16,TKIvTS,TDC,63012.09520744855
UQRB5R,2023-11-24,DtIMUa,Withdraw,28999.937417377074
11jB2b,2022-02-08,w3uFcJ,Domestic Wire,118736.89433822196
rMF2me,2023-05-18,FhaIgl,Withdraw,114903.48741722666
gh4zQK,2022-05-04,nvpbWp,Deposit,121575.0198721035
WyA63v,2022-07-24,l7eOKU,Deposit,7186.48297676485
rW6p7f,2023-06-01,NmNIeJ,Deposit,14780.829836749612
Rqs700,2021-03-07,ili75j,TDC,42538.43590156438
lRFUYy,2023-12-26,TUF3sZ,Deposit,94320.84497557802
hnxchL,2023-08-02,C32C6k,TDC,2845.9417139637917
lubvn7,2023-10-16,nwzdsJ,International Wire,56989.70415249036
KtjvPZ,2023-02-08,7Rj7Az,Withdraw,99759.2803604008
gzkBno,2024-01-12,Ke4YwY,Withdraw,81818.89761660816
57Nicx,2023-09-28,NCscrm,TDC,52117.20072699182
tsekBr,2022-12-14,bWjKBI,Domestic Wire,23604.589276698738
mXeAi3,2023-09-22,YiLHLe,TDC,130756.34833317173
y5X6Dy,2022-11-08,u1yolr,Deposit,65187.58182485487
qAkJ50,2022-08-02,QBvPrn,Deposit,61011.94663110062
hNRfnB,2023-04-16,neznz6,Withdraw,93074.64749564398
pgEDKy,2021-10-04,ZEKJ2S,TDC,69491.07628069127
D5bXC5,2021-11-19,LNqrr7,Withdraw,32799.829870432295
PpsspG,2022-08-07,e8Dlt0,Domestic Wire,5872.336115368169
wQaJR7,2023-07-02,Vcyn22,Withdraw,26754.41310144717
GA1ohg,2022-03-29,71Zs1K,Withdraw,49604.1243849962
KDlGrT,2021-01-14,DQaBtT,Domestic Wire,105489.58316240492
O0WNGv,2021-08-04,m1KkOk,Domestic Wire,89933.27196159407
Nvhze7,2021-08-23,iFLdgI,Deposit,135028.96737461945
f0YAyP,2022-02-26,PBdb0x,Withdraw,40008.80056880345
oK6hX3,2022-06-02,UKvj4C,International Wire,135561.66532624033
CYytNK,2022-06-09,GI1CYt,Domestic Wire,4528.690532390285
Yd3PzR,2022-07-25,VHusp5,TDC,125584.92821244187
cwlGHy,2024-01-22,C0QftB,Domestic Wire,62785.268517265344
DalSFS,2021-05-26,gybiHN,International Wire,105319.30844953633
TCrulY,2022-06-10,BxH3Hf,TDC,50030.86127543319
kqYnCM,2023-08-22,6Iu6TQ,Deposit,102711.96288133804
ZdeTSF,2021-02-25,4ImeOu,Withdraw,137524.08555920058
gX3vSv,2021-03-06,4GBCYt,TDC,75497.28116720327
Czw3xV,2022-02-23,bu31DN,Withdraw,96626.10859429919
uMuIuk,2021-09-12,TnXso7,Withdraw,116334.09637008536
akHPrb,2021-08-21,LtXrne,Withdraw,36799.71068933616
rliXC4,2023-06-26,KdJDk5,Deposit,11394.328178747994
3PRbvp,2022-03-26,0YWQ4D,Withdraw,46900.49373047119
